,city,state,geoid,area_km,avg_neighbor_degree_avg,avg_weighted_neighbor_degree_avg,circuity_avg,cluster_coeff_avg,cluster_coeff_weighted_avg,degree_centrality_avg,D_len,D_number,H_len,H_number,EH_number,EH_len,edge_density_km,edge_length_avg,edge_length_total,entropy,dead_end_count,dead_end_proportion,intersect_3way_count,intersect_3way_proportion,intersect_4way_count,intersect_4way_proportion,intersection_count,intersect_density_km,k_avg,edge_count,node_count,node_density_km,pagerank_max,pagerank_min,self_loop_proportion,street_density_km,street_length_avg,street_length_total,street_segments_count,streets_per_node_avg,city1
3,LVA_Daugavpils,Latvia,LV501,2593.96,2.952209493,0.023473054,1.091810298,0.0638142,0.001549297,0.001245704,0.730705416,0.718613419,1.601619003,1.581189766,0.636317572,0.644538902,2107.799747,479.9884323,5467548,0.012101395,814,0.190320318,2803,0.655365911,638,0.149169979,3463,1.335024441,5.326630816,11391,4277,1.64883036,0.000949167,3.51E-05,0.001931349,1071.875073,470.2183435,2780401.065,5913,2.771335048,Daugavpils
0,LTU_Vilnius,Lithuania,LT001,4250.65,2.783458548,0.022420119,1.081135317,0.053143442,0.00092413,0.00031503,0.715209081,0.595080644,1.5126334,1.345839579,0.509969815,0.573171861,2897.987219,333.7938807,12318329,0.013592163,3872,0.252956164,9778,0.638792709,1409,0.092049389,11435,2.690176796,4.821846214,36904,15307,3.601096303,0.000292831,9.82E-06,0.001680035,1510.717261,326.0322058,6421530.326,19696,2.575096361,Vilnius
1,LTU_Kaunas,Lithuania,LT002,1620.67,2.763069137,0.024976066,1.072665359,0.053975736,0.000797207,0.000524075,0.719232739,0.598685582,1.571270887,1.409424441,0.549494062,0.612593337,3533.91134,262.6962706,5727304,0.012039682,2288,0.250822188,5897,0.64645911,893,0.097895198,6834,4.216774544,4.780092085,21802,9122,5.628536346,0.000486787,1.65E-05,0.001238418,1862.217664,255.3117588,3018040.301,11821,2.594716071,Kaunas
2,LTU_Panevezys,Lithuania,LT003,2228.73,2.869680294,0.018545162,1.068600505,0.047755066,0.001078771,0.001332734,0.710108753,0.661726497,1.514413501,1.417269584,0.552552658,0.590426278,2027.520593,465.8072334,4518795,0.09818696,820,0.214884696,2540,0.665618449,433,0.113469602,2996,1.344263325,5.084381551,9701,3816,1.712185864,0.000856888,3.94E-05,0.001030822,1045.029444,457.7610993,2329088.473,5088,2.681603774,Panevezys
3,LTU_Alytus,Lithuania,LT004,39.4985,2.73541963,0.028289819,1.048173499,0.04931247,0.002469359,0.006913796,0.464952477,0.409329435,0.9771975,0.884565434,0.493685368,0.545384309,7509.134372,173.8567081,296599,0.063918427,152,0.216216216,456,0.648648649,90,0.12802276,551,13.94989683,4.853485064,1706,703,17.79814423,0.005879791,0.000215528,0.001172333,3959.450384,168.5262403,156392.351,928,2.688477952,Alytus
4,LTU_Klaipeda,Lithuania,LT501,88.1793,2.581627852,0.03202255,1.071828677,0.061091508,0.001113696,0.00326643,0.548859181,0.522734605,1.202100542,1.16948909,0.487714832,0.501314864,6818.262495,183.4695191,601229,0.087301525,243,0.171489061,919,0.648553282,241,0.170077629,1174,13.31378226,4.625264644,3277,1417,16.06953106,0.002560858,0.000106719,0.000610314,3935.094688,174.9843142,346993.895,1983,2.823570924,Klaipeda
5,LTU_Siauliai,Lithuania,LT502,81.1069,2.847143267,0.024303282,1.047703212,0.039190353,0.002465333,0.004334848,0.430884105,0.447854776,0.945833268,1.019101048,0.442589962,0.410770169,7009.562923,194.7666732,568523,0.246062999,251,0.216192937,689,0.593453919,212,0.182601206,910,11.21976059,5.028423773,2919,1161,14.3144418,0.002827697,0.000130056,0.002055498,3713.465402,192.3292893,301187.667,1566,2.745047373,Siauliai
0,LUX_uxembourg,Luxembourg,LU001,2596.62,2.620800303,0.03845321,1.110475961,0.070347534,0.000745044,0.000217268,0.75995804,0.64378973,1.62893212,1.389109602,0.471773948,0.553223256,4350.042975,223.4679023,11295408,0.006204094,4663,0.216169858,15166,0.703073571,1276,0.059153493,16908,6.511541928,4.686477215,50546,21571,8.307338001,0.000235943,6.98E-06,0.006152811,2331.358062,214.8055841,6053650.971,28182,2.60993927,uxembourg
0,NLD_The Hague,Netherlands,NL001,419.041,2.51410468,0.065970449,1.083373176,0.066856589,0.001062363,0.000182087,0.689048189,0.622187313,1.528842938,1.346864492,0.475384071,0.539614477,13880.08776,98.64532843,5816325,0.121572091,3818,0.150025541,16896,0.663916067,4180,0.164250069,21631,51.62024718,4.633738064,58962,25449,60.73152746,0.00020524,5.92E-06,0.005783386,8646.972914,99.39476552,3623436.177,36455,2.856261543,The Hague
1,NLD_Amsterdam,Netherlands,NL002,3320.01,2.652438069,0.050740156,1.091279331,0.054753511,0.000363867,6.15E-05,0.735304885,0.684252979,1.609571832,1.408407807,0.478328068,0.546648052,6952.679146,122.5242936,23082964,0.008008424,15084,0.192678129,52033,0.664652684,9821,0.125450272,63202,19.03668965,4.812993383,188395,78286,23.58004946,5.44E-05,1.92E-06,0.008338862,4025.12219,124.2671978,13363445.92,107538,2.730667041,Amsterdam
2,NLD_Rotterdam,Netherlands,NL003,2161.07,2.635752535,0.050581162,1.083525845,0.055522321,0.000433354,7.94E-05,0.718564233,0.674937284,1.551779845,1.381914231,0.469330233,0.527020548,8029.464349,123.385771,17352234,0.002030802,12618,0.212031591,39061,0.656377079,6908,0.116081331,46892,21.69851046,4.726398925,140634,59510,27.53728477,7.72E-05,2.53E-06,0.006790677,4597.237452,123.8818402,9934951.94,80197,2.683128886,Rotterdam
3,NLD_Utrecht,Netherlands,NL004,974.918,2.652532293,0.051477758,1.086792643,0.050910567,0.00045962,0.000168882,0.733984452,0.610472951,1.594816098,1.295363153,0.467203499,0.575208319,8301.305425,119.3882705,8093092,0.010647931,5876,0.207383356,19000,0.670572457,3036,0.10715042,22458,23.03578352,4.784922708,67788,28334,29.06295709,0.000172849,5.31E-06,0.007346433,4739.327392,120.9448363,4620455.582,38203,2.684513306,Utrecht
